날짜,KG동부제철,POSCO,동국제강,현대제철,고려제강,F&F,LF,한섬,한세실업,신세계인터내셔날,대한항공,아시아나항공,한진칼,한국항공우주,한화에어로스페이스
2015-03-31,626622953129,15100911629121,1369417330000,3750586210161,345813807023,78173004838,378901073670,151565060913,321278620926,241674258390,2871247155565,1407855692049,175628184561,621275000000,602177247896
2015-06-30,581481490920,15189491516675,1492433882000,3994063432944,376356153175,72210555585,395345840543,120626169789,335923264331,227032411464,2785943223876,1333630544484,156333389135,679006000000,607246411814
2015-09-30,584803527555,13995991819024,1487061491000,4083382506846,370842332545,77786122858,338712639635,124228604176,526497471449,230026669853,2972616224127,1538519749177,188742907276,703986000000,648008910092
2015-12-31,527884184948,13905949595814,1371421576000,4304480715358,380190184081,141842320212,458088292160,220336063052,402808742933,306506301188,2915024697545,1515265431758,201604750546,1035470000000,755972936337
2016-03-31,533849622570,12461198605137,1224813246000,3743813297163,335745297927,91692882294,380834960735,173642555746,359315696422,248185315450,2866960728487,1476253723996,244599646153,710595000000,642576578438
2016-06-30,583526714761,12857383800773,1424470788000,4225743414371,368053776580,84818518477,385968736594,145227231526,330099159948,235977148632,2817708930618,1374468301028,213404389086,801349000000,820660624407
2016-09-30,602246951338,12747559705198,1379732460000,4063401127934,352959948975,91903348805,310955617355,147178265093,417560356051,244754250097,3117941920848,1555440523121,293899239454,801464000000,887320298769
2016-12-31,608416059532,15017370815290,977566643000,4658554064110,360685502765,170564905447,451537303843,245950156161,440679692935,292206341894,2929241008676,1357388414486,239121094541,632923000000,1168319163084
2017-03-31,666232740011,15077183705856,1513597021000,4574116836238,381255166300,112473617921,381287591793,244460128813,386460294595,272141588806,2866004571486,1457138093270,296319363343,711822000000,774291554139
2017-06-30,672041620141,14944404025635,1510062390000,4692492651761,385547110782,102706276821,397246261169,300626995033,401005041580,239446989354,2905224888439,1491852543037,254796438741,545121000000,1036323336303
2017-09-30,664101019077,15036117731154,1554417239000,4820243293339,396954745122,102646855404,339670114063,282367512467,496837517926,268801126364,3213921437684,1630785128674,300028304960,477240000000,868639110700
2017-12-31,593821531282,15597394154127,1471272232989,5079111067034,386699840670,242691426849,483855938272,401221149534,427030597585,322155170977,3107060599894,1647288862702,298513148424,338066142312,1536217441003
2018-03-31,616948662550,15862283699009,1401308468691,4786068719872,367216127084,132996765267,409429766446,330495938403,364089481345,304390120259,3102002341014,1602796123932,348534659583,641176128845,747970090684
2018-06-30,633358272313,16083295652841,1511846780103,5447665309825,389516938697,147674732761,428781651616,292285965276,393022955911,283366675415,3105748499293,1642897651267,302102531280,839063304322,1011322159627
2018-09-30,668372623511,16410726456611,1501366407332,5234128791765,405844119562,139738079984,367238977234,282785705204,515495181177,311768045630,3517865068579,1852093241248,356006003934,439078326760,1039992826845
2018-12-31,626417679271,16621471625733,1550409214767,5312518728839,414658498147,248317225145,501231705014,393641793266,440078488682,363125541006,3286029315103,2085600191129,298249319766,866705751472,1653891546152
2019-03-31,611853639293,16014237718232,1374868028734,5071535235030,399510274855,162712021551,423762012773,312525643829,422816182913,365936378560,3138921624408,1723163317020,357118738219,630897916104,954838379744
2019-06-30,674727153647,16321334900123,1494932194589,5571933777502,439597442854,201502216574,469034534996,283785144840,429602057591,301715296904,3121010165328,1745383933143,288227232967,805330462545,1398647635085
2019-09-30,604002791032,15988226550851,1430378304044,5047285719643,403216326849,216485061893,415723884589,279370093065,572464313251,359945731910,3382867120356,1835066753685,301568334060,567707635150,1312505731136
2019-12-31,537666613442,16043048638753,1358252932022,4821835699781,397391890916,329637265102,543196368769,384120803465,497536161462,397403984173,3040608354474,1662174762911,256583411414,1106221560864,1598122629130
2020-03-31,596218434749,14545812808227,1228376454608,4667990000940,371885711128,165981419655,372146856896,271498724971,394095713960,323354050052,2427305481809,1293728159928,193750991414,827694930721,1027394869358
2020-06-30,567436724281,13721554433650,1301899979466,4113255136045,285822871969,166796293407,422094259750,276641517440,453602919935,287195835698,1728443994764,886411004066,48158940783,721139700286,1192687358834
